Day,Susceptible,Infected,Recovered,Dead,R0
1,999959,39,2,0,4,1000
2,999900,95,5,0,10,0000
3,999795,185,15,5,20,5000
4,999672,288,34,6,32,8000
5,999508,425,58,9,49,2000
6,999295,599,91,15,70,5000
7,999041,782,155,22,95,9000
8,998723,1009,233,35,127,7000
9,998384,1216,352,48,161,6000
10,997980,1490,473,57,202,0000
11,997518,1783,623,76,248,2000
12,997051,2065,787,97,294,9000
13,996545,2355,986,114,345,5000
14,996007,2651,1211,131,399,3000
15,995389,3022,1433,156,461,1000
16,994741,3372,1699,188,525,9000
17,994024,3689,2061,226,597,6000
18,993246,4046,2446,262,675,4000
19,992428,4389,2880,303,757,2000
20,991594,4762,3303,341,840,6000
21,990680,5150,3792,378,932,0000
22,989754,5537,4292,417,1024,6000
23,988798,5852,4879,471,1120,2000
24,987798,6249,5429,524,1220,2000
25,986704,6673,6029,594,1329,6000
26,985644,7006,6704,646,1435,6000
27,984522,7355,7407,716,1547,8000
28,983342,7725,8142,791,1665,8000
29,982070,8096,8961,873,1793,0000
30,980766,8477,9807,950,1923,4000
31,979443,8887,10631,1039,2055,7000
32,978027,9314,11533,1126,2197,3000
33,976613,9676,12496,1215,2338,7000
34,975132,10106,13451,1311,2486,8000
35,973582,10539,14489,1390,2641,8000
36,972032,10970,15503,1495,2796,8000
37,970453,11351,16595,1601,2954,7000
38,968806,11784,17700,1710,3119,4000
39,967052,12277,18834,1837,3294,8000
40,965287,12709,20025,1979,3471,3000
41,963511,13093,21293,2103,3648,9000
42,961723,13401,22634,2242,3827,7000
43,959903,13714,24005,2378,4009,7000
44,958083,14036,25372,2509,4191,7000
45,956263,14343,26746,2648,4373,7000
46,954379,14636,28204,2781,4562,1000
47,952435,15021,29600,2944,4756,5000
48,950481,15356,31069,3094,4951,9000
49,948478,15635,32616,3271,5152,2000
50,946393,15989,34210,3408,5360,7000
51,944240,16435,35750,3575,5576,0000
52,942079,16741,37442,3738,5792,1000
53,939871,17148,39071,3910,6012,9000
54,937639,17511,40756,4094,6236,1000
55,935416,17829,42488,4267,6458,4000
56,933129,18122,44317,4432,6687,1000
57,930813,18349,46204,4634,6918,7000
58,928445,18683,48041,4831,7155,5000
59,926029,19025,49915,5031,7397,1000
60,923603,19421,51756,5220,7639,7000
61,921107,19780,53699,5414,7889,3000
62,918603,20089,55692,5616,8139,7000
63,916050,20386,57723,5841,8395,0000
64,913485,20698,59761,6056,8651,5000
65,910892,20943,61909,6256,8910,8000
66,908238,21285,64021,6456,9176,2000
67,905580,21642,66110,6668,9442,0000
68,902921,21846,68329,6904,9707,9000
69,900277,22117,70460,7146,9972,3000
70,897571,22485,72594,7350,10242,9000
71,894829,22781,74825,7565,10517,1000
72,892027,23112,77023,7838,10797,3000
73,889202,23329,79394,8075,11079,8000
74,886340,23672,81656,8332,11366,0000
75,883551,23808,84090,8551,11644,9000
76,880664,24171,86357,8808,11933,6000
77,877707,24529,88725,9039,12229,3000
78,874740,24761,91194,9305,12526,0000
79,871734,24951,93736,9579,12826,6000
80,868773,25100,96290,9837,13122,7000
81,865758,25372,98776,10094,13424,2000
82,862631,25748,101286,10335,13736,9000
83,859548,26087,103772,10593,14045,2000
84,856446,26398,106288,10868,14355,4000
85,853318,26724,108842,11116,14668,2000
86,850167,26972,111487,11374,14983,3000
87,847064,27158,114103,11675,15293,6000
88,843928,27371,116762,11939,15607,2000
89,840807,27376,119579,12238,15919,3000
90,837750,27464,122298,12488,16225,0000
91,834614,27523,125121,12742,16538,6000
92,831426,27730,127831,13013,16857,4000
93,828241,27910,130510,13339,17175,9000
94,825057,28082,133210,13651,17494,3000
95,821828,28275,135960,13937,17817,2000
96,818553,28516,138705,14226,18144,7000
97,815235,28584,141658,14523,18476,5000
