Day,Susceptible,Infected,Recovered,Dead,R0
1,999957,41,2,0,4,3000
2,999904,92,3,1,9,6000
3,999815,170,12,3,18,5000
4,999691,264,39,6,30,9000
5,999526,398,69,7,47,4000
6,999316,559,114,11,68,4000
7,999059,750,176,15,94,1000
8,998748,978,246,28,125,2000
9,998424,1201,338,37,157,6000
10,998043,1434,475,48,195,7000
11,997612,1698,627,63,238,8000
12,997120,2017,783,80,288,0000
13,996561,2355,989,95,343,9000
14,995961,2727,1206,106,403,9000
15,995310,3068,1481,141,469,0000
16,994604,3421,1805,170,539,6000
17,993861,3812,2125,202,613,9000
18,993066,4196,2494,244,693,4000
19,992216,4593,2909,282,778,4000
20,991303,5011,3352,334,869,7000
21,990335,5421,3844,400,966,5000
22,989384,5800,4365,451,1061,6000
23,988351,6208,4944,497,1164,9000
24,987237,6604,5599,560,1276,3000
25,986136,6992,6249,623,1386,4000
26,984940,7434,6940,686,1506,0000
27,983724,7803,7707,766,1627,6000
28,982486,8191,8483,840,1751,4000
29,981144,8625,9320,911,1885,6000
30,979760,9049,10168,1023,2024,0000
31,978363,9500,11031,1106,2163,7000
32,976851,10016,11937,1196,2314,9000
33,975311,10477,12904,1308,2468,9000
34,973684,10971,13926,1419,2631,6000
35,972050,11345,15082,1523,2795,0000
36,970343,11845,16173,1639,2965,7000
37,968605,12259,17379,1757,3139,5000
38,966746,12765,18618,1871,3325,4000
39,964845,13314,19862,1979,3515,5000
40,962921,13731,21203,2145,3707,9000
41,961012,14180,22531,2277,3898,8000
42,959037,14594,23952,2417,4096,3000
43,957010,15028,25402,2560,4299,0000
44,954927,15490,26876,2707,4507,3000
45,952809,15927,28410,2854,4719,1000
46,950661,16381,29962,2996,4933,9000
47,948507,16770,31584,3139,5149,3000
48,946287,17122,33277,3314,5371,3000
49,944098,17417,34992,3493,5590,2000
50,941783,17776,36769,3672,5821,7000
51,939520,18158,38476,3846,6048,0000
52,937191,18507,40270,4032,6280,9000
53,934782,18849,42151,4218,6521,8000
54,932253,19298,44056,4393,6774,7000
55,929746,19761,45919,4574,7025,4000
56,927215,20147,47872,4766,7278,5000
57,924631,20520,49869,4980,7536,9000
58,922034,20947,51848,5171,7796,6000
59,919340,21424,53871,5365,8066,0000
60,916603,21915,55933,5549,8339,7000
61,913804,22447,57991,5758,8619,6000
62,910963,22801,60252,5984,8903,7000
63,908095,23113,62564,6228,9190,5000
64,905237,23460,64842,6461,9476,3000
65,902293,23807,67178,6722,9770,7000
66,899317,24270,69464,6949,10068,3000
67,896316,24601,71907,7176,10368,4000
68,893362,24824,74402,7412,10663,8000
69,890375,25012,76928,7685,10962,5000
70,887270,25351,79446,7933,11273,0000
71,884182,25764,81887,8167,11581,8000
72,881055,26098,84428,8419,11894,5000
73,877904,26403,87027,8666,12209,6000
74,874661,26723,89706,8910,12533,9000
75,871408,27087,92303,9202,12859,2000
76,868084,27500,94961,9455,13191,6000
77,864758,27822,97689,9731,13524,2000
78,861384,28154,100451,10011,13861,6000
79,858006,28487,103187,10320,14199,4000
80,854621,28656,106099,10624,14537,9000
81,851091,29098,108913,10898,14890,9000
82,847594,29396,111843,11167,15240,6000
83,844098,29610,114803,11489,15590,2000
84,840667,29836,117709,11788,15933,3000
85,837182,29993,120721,12104,16281,8000
86,833719,30188,123720,12373,16628,1000
87,830195,30507,126619,12679,16980,5000
88,826618,30689,129711,12982,17338,2000
89,823092,30730,132885,13293,17690,8000
90,819510,30999,135898,13593,18049,0000
91,815826,31434,138860,13880,18417,4000
92,812257,31607,141899,14237,18774,3000
93,808565,31893,145009,14533,19143,5000
